mass,region,Br_Hbb,Br_Zbb,CSEV,HLT_efficiency,JER,JES,L1_prefiring,PDF,PER,PES,QCD_scale,Xbb_tagger,lumi_Run2,photon_ID,pile-up
1800,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.021,1.014,1.004,1.051,1.006,1.006,1.012,1.07,1.016,1.044,1.01
1800,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.014,1.004,1.051,1.006,1.006,1.012,1.07,1.016,1.044,1.01
1800,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.014,1.004,,1.005,1.006,,1.07,1.016,1.044,1.01
1800,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.017,1.014,1.004,,1.005,1.006,,1.07,1.016,1.044,1.01
1800,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.015,1.004,,1.004,1.006,,1.07,1.016,1.044,1.01
1800,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.014,1.004,,1.004,1.006,,1.07,1.016,1.044,1.01
1800,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.003,1.016,1.004,,1.002,1.006,,1.07,1.016,1.044,1.01
1800,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.004,1.014,1.004,,1.003,1.006,,1.07,1.016,1.044,1.01
1850,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1850,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1850,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1850,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
